StudentID,Exam_1,Exam_2,Exam_3,Exam_4,Exam_5,Exam_6,Exam_7,Exam_8,Exam_9,Exam_10
S1,80,73.6,81.5,90.2,72.7,72.7,90.8,82.7,70.3,80.4
S2,70.4,70.3,77.4,55.9,57.8,69.4,64.9,78.1,65.9,60.9
S3,89.7,72.7,75.7,60.8,69.6,76.1,63.5,78.8,69,72.1
S4,69,93.5,74.9,64.4,83.2,62.8,77.1,55.4,61.7,77
S5,82.4,76.7,73.8,72,60.2,67.8,70.4,85.6,78.4,57.4
S6,78.2,71.1,68.2,81.1,85.3,84.3,66.6,71.9,78.3,84.8
S7,70.2,73.1,63.9,63,83.1,88.6,74.3,85,78.6,68.5
S8,78.6,90.4,74.6,90.6,48.8,83.2,75.9,72,75.9,55.1
S9,72.8,78.6,89.8,69.8,66.9,70,84.2,78.3,69.7,80.1
S10,76,84.7,68,71.7,71.1,60.4,78,77.6,75.1,72.7
S11,60.8,70.8,71.6,67,73.4,79,93.9,76.7,77.6,74.3
S12,55.8,74.7,75.6,99.6,73.1,78,74.7,63.3,86.4,82.5
